"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "CSS", "Docker", "HTML", "YAML", "Markdown", "Go Module File", "Properties", "Go", "Go Checksum File", "JSON with Comments", "TypeScript", "Python", "comment", "blank", "total"
"/Users/omarelmasaoudi/Desktop/medapp/.github/workflows/main.yml", "YAML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/omarelmasaoudi/Desktop/medapp/.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 30, 13, 58
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/Dockerfile", "Docker", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 17
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/Personele-Services/MedicalDoctor.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 8, 20
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/middleware/authMiddleware.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/middleware/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/middleware/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
